Run 1:

Input:

Enter name in a line and age and salary space separated in another line
k8
10 200
k7
10 200
k6
12 200
k6
10 200
k5
10 200
k4
10 200
k3
11 200
k3
10 200
k2
10 200
k1
10 200

Output:

Name:		Age:	Salary:	
k8		10	200.000000
k7		10	200.000000
k6		12	200.000000
k6		10	200.000000
k5		10	200.000000
k4		10	200.000000
k3		11	200.000000
k3		10	200.000000
k2		10	200.000000
k1		10	200.000000

Name:		Age:	Salary:	
k1		10	200.000000
k2		10	200.000000
k3		10	200.000000
k3		11	200.000000
k4		10	200.000000
k5		10	200.000000
k6		10	200.000000
k6		12	200.000000
k7		10	200.000000
k8		10	200.000000
